127.0.0.1 - - [26/Mar/2024:13:01:20 +0900] "GET / HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:21 +0900] "GET / HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:21 +0900] "GET /images/dudu/user_id.svg HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:21 +0900] "GET /images/dudu/sky_duduCalendar_logo.svg HTTP/1.1" 200 4208
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:21 +0900] "GET /images/dudu/user_pw.svg HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:25 +0900] "GET /admin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:26 +0900] "GET /uat/uia/egovLoginUsr.do HTTP/1.1" 200 9675
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:26 +0900] "GET /css/egovframework/com/uat/uia/login.css HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:26 +0900] "GET /css/egovframework/com/com.css HTTP/1.1" 200 36853
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:26 +0900] "GET /images/egovframework/com/uat/uia/login_tit.png HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:26 +0900] "GET /js/egovframework/com/cmm/showModalDialog.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:26 +0900] "GET /js/egovframework/com/cmm/jquery.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:31 +0900] "POST /uat/uia/actionLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:32 +0900] "GET /EgovContent.do HTTP/1.1" 200 4143
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:32 +0900] "GET /images/egovframework/com/cmm/icon/tit_icon.png HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:32 +0900] "GET /egovframework-all-in-one/css/egovframework/com/cmm/jqueryui.css HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:33 +0900] "GET /js/egovframework/com/cmm/jqueryui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:33 +0900] "GET /uat/uia/noticeExpirePwd.do HTTP/1.1" 200 4783
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:33 +0900] "GET /css/egovframework/com/button.css HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:34 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:51 +0900] "GET /adminregist.do? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:51 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:54 +0900] "GET /adminregist.do?useremail=lits111%40naver.com HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:54 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:56 +0900] "GET /adminregist.do? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:56 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:57 +0900] "GET /adminregist.do? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:57 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:57 +0900] "GET /adminregist.do? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:01:57 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:02:00 +0900] "GET /adminregist.do? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:02:00 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:02:29 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:02:29 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:02:33 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:02:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:02:36 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:02:37 +0900] "GET /adminregist.do?useremail=lits111%40naver.com HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:02:38 +0900] "GET /admin.do HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:05:58 +0900] "GET /admin.do HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:06:19 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:06:20 +0900] "GET /adminregist.do? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:06:20 +0900] "GET /admin.do HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:06:26 +0900] "GET /adminregist.do?useremail=lits111%40naver.com HTTP/1.1" 302 -
