127.0.0.1 - - [01/Apr/2024:08:52:48 +0900] "GET / HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:52:50 +0900] "GET / HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:52:51 +0900] "GET /images/dudu/user_id.svg HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:52:51 +0900] "GET /images/dudu/sky_duduCalendar_logo.svg HTTP/1.1" 200 4208
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:52:51 +0900] "GET /js/egovframework/com/validChecker.js HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:52:51 +0900] "GET /css/dudu/login.css HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:52:51 +0900] "GET /js/egovframework/com/duduCheck.js HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:52:51 +0900] "GET /images/dudu/user_pw.svg HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:52:51 +0900] "GET /js/egovframework/com/jQuery.js HTTP/1.1" 200 87462
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:52:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "POST /login.do HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "GET /topNav.do HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "GET /leftNav.do HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "GET /css/dudu/topNav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "GET /images/dudu/blue_duduCalendar_logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "GET /rightNav.do HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "GET /css/dudu/leftNav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "GET /css/dudu/rightNav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "GET /css/dudu/duducalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:50 +0900] "GET /duducalendar.do HTTP/1.1" 200 116077
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:51 +0900] "GET /rightNav.do HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:52 +0900] "GET /approval.do HTTP/1.1" 200 5514
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:55 +0900] "GET /detailapp.do?appauto=9 HTTP/1.1" 500 1061
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:55 +0900] "GET /images/egovframework/com/cmm/er_logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:55 +0900] "GET /css/egovframework/com/com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:55:55 +0900] "GET /css/egovframework/images/bul_i.jpg HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:15 +0900] "POST /login.do HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /leftNav.do HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /topNav.do HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /rightNav.do HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /css/dudu/topNav.css HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /images/dudu/blue_duduCalendar_logo.svg HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /css/dudu/rightNav.css HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /css/dudu/leftNav.css HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /duducalendar.do HTTP/1.1" 200 116077
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /css/dudu/duducalendar.css HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /rightNav.do HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /css/dudu/rightNav.css HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:16 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:18 +0900] "GET /approval.do HTTP/1.1" 200 5514
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:56:23 +0900] "GET /detailapp.do?appauto=9 HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:57:22 +0900] "GET /detailapp.do?appauto=9 HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:59:04 +0900] "GET /approval.do HTTP/1.1" 200 5514
0:0:0:0:0:0:0:1 - - [01/Apr/2024:08:59:06 +0900] "GET /detailapp.do?appauto=9 HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [01/Apr/2024:09:09:22 +0900] "GET /test.do HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [01/Apr/2024:09:09:22 +0900] "GET /leftNav.do HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [01/Apr/2024:09:09:22 +0900] "GET /rightNav.do HTTP/1.1" 200 431
